timestamp,run_id,label,scenario,sensor,event_type,proto,app_proto,src_ip,src_port,dest_ip,dest_port,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,flow_state,modbus_function,modbus_access,modbus_address,modbus_quantity,modbus_value,engine_rpm,ballast_level,ballast_setpoint,rpm_command,heading_cmd,heading,rudder_angle,gen_load,bus_freq,load_cmd,alert_signature,alert_sid,src_port_role,write_band,read_band,source_dataset,register_space,macyste_decoded,governor_left,governor_right,rudder_command,hydraulic_pump_rpm_left,fuel_flow_left,pressure_valve_flow_left,hydraulic_pressure_left,oil_temperature_left,hydraulic_pump_rpm_right,fuel_flow_right,pressure_valve_flow_right,hydraulic_pressure_right,oil_temperature_right,oil_level_left,oil_level_right,expansion_oil_level_common,expansion_oil_level_left,expansion_oil_level_right,rudder_angle_actual,throttle_command_left,throttle_command_right,eve_timestamp,flow_start,flow_end,flow_duration,phase,flow_spans_phase_boundary
2026-07-26T11:44:48.725159+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57380,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.725159+0000,,,,recon_burst,0
2026-07-26T11:44:48.643589+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57366,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.643589+0000,,,,recon_burst,0
2026-07-26T11:44:48.482531+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57360,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,18,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.482531+0000,,,,recon_burst,0
2026-07-26T11:44:48.402369+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57350,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,12,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.402369+0000,,,,recon_burst,0
2026-07-26T11:44:49.780665+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57492,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,21,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.780665+0000,,,,recon_burst,0
2026-07-26T11:44:50.520934+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57578,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:50.520934+0000,,,,recon_burst,0
2026-07-26T11:44:48.967593+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57414,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,23,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.967593+0000,,,,recon_burst,0
2026-07-26T11:44:49.943112+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57510,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.943112+0000,,,,recon_burst,0
2026-07-26T11:44:51.010377+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57630,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:51.010377+0000,,,,recon_burst,0
2026-07-26T11:44:48.887882+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57402,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,17,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.887882+0000,,,,recon_burst,0
2026-07-26T11:44:48.725547+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57380,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,5,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.725547+0000,,,,recon_burst,0
2026-07-26T11:44:49.861879+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57496,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.861879+0000,,,,recon_burst,0
2026-07-26T11:44:48.321088+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57342,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,6,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.321088+0000,,,,recon_burst,0
2026-07-26T11:44:49.047599+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57426,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.047599+0000,,,,recon_burst,0
2026-07-26T11:44:49.128694+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57442,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.128694+0000,,,,recon_burst,0
2026-07-26T11:44:50.521366+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57578,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,13,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:50.521366+0000,,,,recon_burst,0
2026-07-26T11:44:50.357307+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57562,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:50.357307+0000,,,,recon_burst,0
2026-07-26T11:44:49.862154+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57496,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,27,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.862154+0000,,,,recon_burst,0
